,id,question,code_concise,code_verbose,answer,predict
155,156,List shipments in June with delay_minutes > 30.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","     id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0   153  Route B       WH1           5.17             71   Minor Breakdown   
1   154  Route B       WH3           6.01             73   Minor Breakdown   
2   156  Route C       WH4           5.02            105           Traffic   
3   159  Route D       WH2           4.32            109     Customs Delay   
4   162  Route A       WH3           4.73             61           Traffic   
5   163  Route E       WH4           4.24            117       Driver Rest   
6   164  Route E       WH1           4.20             85     Customs Delay   
7   165  Route C       WH1           4.99             94           Traffic   
8   167  Route C       WH1           5.28             74       Driver Rest   
9   171  Route E       WH4           6.89             48   Minor Breakdown   
10  173  Route D       WH4           5.21            112           Traffic   
11  174  Route E       WH3           5.31             73           Weather   
12  175  Route C       WH1           6.76             52     Customs Delay   
13  176  Route D       WH3           6.24             41     Customs Delay   
14  177  Route E       WH3           4.51            116           Weather   
15  179  Route E       WH3           5.71            105  Mechanical Issue   
16  180  Route B       WH1           4.43             76           Traffic   
17  181  Route A       WH1           4.84            109       Driver Rest   
18  517  Route C       WH1           4.54             61           Traffic   
19  518  Route E       WH3           6.92            120     Customs Delay   
20  519  Route E       WH4           5.29             53   Minor Breakdown   
21  520  Route B       WH3           6.56             98       Driver Rest   
22  521  Route A       WH1           4.81             99     Customs Delay   
23  522  Route C       WH2           5.42            117           Traffic   
24  523  Route B       WH4           4.01             98           Traffic   
25  529  Route E       WH3           4.54             76           Traffic   
26  531  Route B       WH4           4.14             55       Driver Rest   
27  532  Route B       WH1           6.93             44       Driver Rest   
28  533  Route E       WH3           6.79             69  Mechanical Issue   
29  535  Route E       WH1           5.21             61       Driver Rest   
30  536  Route E       WH3           6.66             97           Traffic   
31  537  Route E       WH2           5.34             32     Customs Delay   
32  540  Route E       WH1           5.65             79  Mechanical Issue   
33  541  Route D       WH1           4.93             79           Weather   
34  546  Route A       WH1           6.98            106       Driver Rest   
35  882  Route A       WH4           4.18             87       Driver Rest   
36  884  Route B       WH1           4.93             85  Mechanical Issue   
37  886  Route A       WH1           4.50             67           Traffic   
38  889  Route E       WH4           5.18             69  Mechanical Issue   
39  890  Route C       WH1           4.90             48   Minor Breakdown   
40  893  Route A       WH1           5.31             89           Weather   
41  894  Route E       WH1           4.48             94   Minor Breakdown   
42  897  Route E       WH2           6.50            120     Customs Delay   
43  898  Route C       WH2           4.28             66  Mechanical Issue   
44  899  Route B       WH3           4.54            120     Customs Delay   
45  900  Route A       WH4           4.08             95  Mechanical Issue   
46  901  Route C       WH3           6.14            112           Traffic   
47  902  Route D       WH4           4.84             67     Customs Delay   
48  903  Route B       WH4           6.86             40  Mechanical Issue   
49  906  Route C       WH2           4.47            115           Traffic   
50  907  Route C       WH1           4.10             81   Minor Breakdown   
51  908  Route B       WH3           5.08             71   Minor Breakdown   
52  909  Route E       WH2           5.32             82           Weather   
53  910  Route A       WH2           5.33             47       Driver Rest   
54  911  Route B       WH2           6.48            110     Customs Delay   

         date  
0  2024-06-02  
1  2024-06-03  
2  2024-06-05  
3  2024-06-08  
4  2024-06-11  
5  2024-06-12  
6  2024-06-13  
7  2024-06-14  
8  2024-06-16  
9  2024-06-20  
10 2024-06-22  
11 2024-06-23  
12 2024-06-24  
13 2024-06-25  
14 2024-06-26  
15 2024-06-28  
16 2024-06-29  
17 2024-06-30  
18 2024-06-01  
19 2024-06-02  
20 2024-06-03  
21 2024-06-04  
22 2024-06-05  
23 2024-06-06  
24 2024-06-07  
25 2024-06-13  
26 2024-06-15  
27 2024-06-16  
28 2024-06-17  
29 2024-06-19  
30 2024-06-20  
31 2024-06-21  
32 2024-06-24  
33 2024-06-25  
34 2024-06-30  
35 2024-06-01  
36 2024-06-03  
37 2024-06-05  
38 2024-06-08  
39 2024-06-09  
40 2024-06-12  
41 2024-06-13  
42 2024-06-16  
43 2024-06-17  
44 2024-06-18  
45 2024-06-19  
46 2024-06-20  
47 2024-06-21  
48 2024-06-22  
49 2024-06-25  
50 2024-06-26  
51 2024-06-27  
52 2024-06-28  
53 2024-06-29  
54 2024-06-30  "
156,157,What is the average delivery_time for Route B?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",5.438375634517766
157,158,Show delay reason counts for WH2.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","       delay_reason  count
0              None     43
1           Weather     37
2           Traffic     35
3       Driver Rest     35
4  Mechanical Issue     30
5   Minor Breakdown     29
6     Customs Delay     27"
158,159,Which route had the longest average delay in April?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the longest average delay in April is 'Route D' with an average delay of 65.55555555555556 minutes.
159,160,How many shipments occurred on Sundays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",142
160,161,Show correlation between delivery_time and delay_minutes for Route D.,result = df['delivery_time'].corr(df['delay_minutes']),"# correlation between delivery_time and delay_minutes
result = df['delivery_time'].corr(df['delay_minutes'])
",-0.004137855444638635,-0.04930486211843905
161,162,What is the rolling 7-day average delay_minutes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","         date  rolling_7_day_avg
0  2024-01-01          56.000000
1  2024-01-01          43.500000
2  2024-01-02          46.000000
3  2024-01-02          34.500000
4  2024-01-02          45.000000
5  2024-01-03          45.000000
6  2024-01-03          55.142857
7  2024-01-03          50.428571
8  2024-01-04          62.142857
9  2024-01-04          61.000000
10 2024-01-04          62.428571
11 2024-01-05          54.571429
12 2024-01-05          48.142857
13 2024-01-05          44.142857
14 2024-01-06          58.000000
15 2024-01-06          52.142857
16 2024-01-06          56.142857"
162,163,Which route had the longest average delay in May?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the longest average delay in May is 'Route B' with an average delay of 58.35 minutes.
163,164,Which warehouse had the most shipments in November?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",No shipments were recorded in November.
164,165,What is the rolling 7-day average delay_minutes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","          date  rolling_7_day_avg
0   2024-01-01          56.000000
1   2024-01-01          43.500000
2   2024-01-02          46.000000
3   2024-01-02          34.500000
4   2024-01-02          45.000000
..         ...                ...
995 2024-12-28          44.142857
996 2024-12-29          40.571429
997 2024-12-29          42.142857
998 2024-12-30          59.000000
999 2024-12-30          64.000000

[1000 rows x 2 columns]"
165,166,Show the top 3 routes by total delay_minutes.,result = df.groupby('route')['delay_minutes'].sum().sort_values(ascending=False).head(3),"result = df.groupby('route')['delay_minutes'].sum().sort_values(ascending=False).head(5).reset_index(name='total_delay')
","route
Route E    11580
Route A    10776
Route B    10569
Name: delay_minutes, dtype: int64","     route  total_delay_minutes
0  Route E              11580.0
1  Route A              10776.0
2  Route B              10569.0"
